Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA200,SMA_Signal,RSI,RSI_Signal,MACD,Signal_Line,MACD_Hist,MACD_Signal,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Signal,Volume_MA,Volume_Signal,L14,H14,%K,%D,Stochastic_Signal,TR,ATR,OBV,OBV_Signal,OBV_Change,Return_3,Bullish_Count,Bearish_Count,Bullish_Sum_10,Bearish_Sum_10,Bullish_Sum_10_Change,Bearish_Sum_10_Change,Price_Change_5,Price_Label,SELL_Prob,BUY_Prob
2020-10-29,136.94332885742188,136.94332885742188,139.35333251953125,135.48666381835938,136.65333557128906,67965900,140.8748258972168,81.08266988754272,1,38.8487553915847,2.0,0.06046168571637622,1.5297750728347228,-1.4693133871183466,-1,142.70683212280272,4.607720620038155,151.92227336287903,133.49139088272642,0.0,111062040.0,0,135.3333282470703,155.3000030517578,8.063438835461922,12.553118212891404,1.5,4.013336181640625,5.299760001046317,8767177800.0,1,-0.014190045642063942,-0.022485074593539767,5.5,4.5,32.5,22.5,-14.0,-46.0,9.086669921875,1,0.01869219,0.98130786
2020-10-30,129.34666442871094,129.34666442871094,135.8633270263672,126.37000274658205,135.63333129882812,127533900,140.79265243530273,81.55823987960815,1,27.08225060014354,2.0,-0.8528609168155583,1.0532478749046665,-1.9061087917202248,-1,142.25599899291993,5.423893197819323,153.10378538855858,131.40821259728128,1.5,106724235.0,0,126.37000274658205,155.3000030517578,10.289186487137187,6.128673807759846,1.5,10.57332611083983,5.704045431954519,8639643900.0,-1,-0.017354004689734803,-0.08627672605622594,6.0,7.0,35.5,29.5,-72.0,-12.8,13.970001220703125,1,0.0021508029,0.9978492
2020-11-02,133.50332641601562,133.50332641601562,135.66000366210938,130.76666259765625,131.3333282470703,87063300,140.7294123840332,82.0555898475647,1,31.762822461345166,2.0,-1.2271222740363328,0.5971738451164667,-1.8242961191527995,-1,141.8364990234375,5.767019990818416,153.37053900507433,130.3024590418007,0.0,104368980.0,0,126.37000274658205,155.3000030517578,24.65718490904192,14.336603410547,1.5,6.3133392333984375,5.862379346575055,8726707200.0,-1,0.002205062928117618,-0.01357078448036575,4.5,5.5,38.0,34.0,75.0,-10.714285714285714,6.9166717529296875,1,0.014983793,0.9850162
2020-11-03,141.3000030517578,141.3000030517578,142.58999633789062,135.56333923339844,136.57666015625,103055100,140.8698124694824,82.5796898651123,1,36.172729060531196,2.0,-0.8844055741468253,0.30085796126380826,-1.1852635354106336,-1,142.0018325805664,5.698028572616581,153.39788972579956,130.60577543533324,0.0,102149790.0,0,126.37000274658205,152.19000244140625,57.82339458419354,30.92325532679087,0.0,9.086669921875,6.05309350149972,8829762300.0,1,0.006175806709495246,0.0318137015558595,4.0,3.0,38.5,34.5,11.833333333333334,-12.5,-4.513336181640625,0,0.8459782,0.15402187
2020-11-04,140.32666015625,140.32666015625,145.13333129882812,139.03334045410156,143.5399932861328,96429300,140.97855911254882,83.09146982192993,1,38.90566984281159,2.0,-0.6834622302949924,0.10399392295204812,-0.7874561532470405,-1,141.9298324584961,5.710241399872362,153.3503152582408,130.50934965875138,0.0,100502100.0,0,126.37000274658205,151.98333740234375,54.48981008229794,45.65679652517779,0.0,6.0999908447265625,6.041188376290457,8733333000.0,-1,0.003922320825407111,0.0848881242978683,3.0,4.0,38.0,36.0,4.428571428571429,-37.0,-1.2833251953125,0,0.9882041,0.0117959175
2020-11-05,146.02999877929688,146.02999877929688,146.6666717529297,141.3333282470703,142.76666259765625,85243500,141.02826583862304,83.63088647842407,1,49.40885315868617,0.0,-0.06327205956640114,0.07054072644835827,-0.1338127860147594,-1,142.132666015625,5.783446991840996,153.69955999930698,130.56577203194303,0.0,98701110.0,0,126.37000274658205,149.0,86.87582155912747,66.3963420752063,-1.5,6.3400115966796875,6.086903708321707,8818576500.0,1,0.00586262776602986,0.0938304138149062,0.5,-0.5,36.5,34.5,2.8421052631578947,-70.0,-8.77667236328125,0,0.992923,0.0070769335
2020-11-06,143.31666564941406,143.31666564941406,145.52333068847656,141.42666625976562,145.36666870117188,65118000,140.90959915161133,84.15919647216796,1,49.669021713305035,0.0,0.2069047425758015,0.09781352967384692,0.10909121290195457,1,142.0651657104492,5.760146504320152,153.5854587190895,130.5448727018089,0.0,97618155.0,0,126.37000274658205,148.41000366210938,76.89048184609184,72.75203782917242,-1.5,4.60333251953125,5.984046391078403,8753458500.0,-1,0.013173529061770717,0.01427220491225012,0.5,-0.5,33.5,31.5,1.4814814814814814,20.0,-7.149993896484375,0,0.9830602,0.016939845
2020-11-09,140.4199981689453,140.4199981689453,150.8333282470703,140.3333282470703,146.5,104499000,140.76679916381835,84.67528980255128,1,49.74385714073873,0.0,0.18515064618171095,0.11528095297541974,0.06986969320629122,1,141.7144989013672,5.628108332965115,152.97071556729742,130.45828223543697,0.0,97024440.0,0,126.37000274658205,150.8333282470703,57.43289244171992,73.73306528231306,0.0,10.5,6.43166514805385,8648959500.0,-1,-0.008909167939082474,0.0006651481093569167,2.0,1.0,32.0,30.0,0.8285714285714285,7.571428571428571,-4.3899993896484375,0,0.8144183,0.1855817
2020-11-10,136.7866668701172,136.7866668701172,140.02999877929688,132.00999450683594,140.02999877929688,90852600,140.180399017334,85.17025648117065,1,45.70448518224246,0.0,-0.12384153461681535,0.06745645545697272,-0.19129799007378806,-1,141.10966567993165,5.4647741361065405,152.03921395214473,130.18011740771857,0.0,96397515.0,0,126.37000274658205,150.8333282470703,42.580736308018444,58.96803686527673,0.0,8.410003662109375,6.75380870274135,8558106900.0,-1,-0.030765879167551358,-0.06329748672496838,1.0,2.0,29.5,29.5,0.3111111111111111,2.4705882352941178,10.416671752929688,1,0.18155771,0.8184423
2020-11-11,139.0433349609375,139.0433349609375,139.56666564941406,136.86000061035156,138.81666564941406,52073100,139.79426559448243,85.67180982589721,1,47.04558771534196,0.0,-0.1844990190560054,0.0170653605543771,-0.2015643796103825,-1,140.3734992980957,4.591999356114591,149.55749801032488,131.18950058586654,0.0,91819215.0,0,126.37000274658205,150.8333282470703,51.80543509549634,50.606354615078224,0.0,2.779998779296875,6.414522988455635,8610180000.0,-1,-0.014101489087843144,-0.029817402387312897,1.0,2.0,28.0,28.0,0.05660377358490565,0.9310344827586208,23.169998168945312,1,0.01317022,0.9868298
